dataset,target,count,proportion
baseline 58k sample analysis,0,54195,0.934397
baseline 58k sample analysis,1,3805,0.065603
baseline 12.5k sample analysis,0,11649,0.93192
baseline 12.5k sample analysis,1,851,0.06808
baseline,0,7075,0.566
baseline,1,5425,0.434
